DATE,SORTER TYPE,DATA TYPE,LENGTH,SWAPS,COMPARITIONS,NANO TIME
27/08/2016 14:19:55,H,class java.lang.Integer,0,0,999,22204191
27/08/2016 14:19:55,H,class java.lang.Integer,0,0,999,74655607
27/08/2016 14:19:55,H,class java.lang.String,0,0,99,1596984
27/08/2016 14:19:55,H,class java.lang.String,0,0,99,6504949
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,0,0,9,299791
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,10,45,54,14337317
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,10,73,89,1911522
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,0,0,49,701044
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,50,1225,1274,54713490
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,50,1749,1845,2507995
27/08/2016 14:20:13,INSERTION,class java.lang.String,0,0,9,87770
27/08/2016 14:20:13,INSERTION,class java.lang.String,10,45,54,223889
27/08/2016 14:20:13,INSERTION,class java.lang.String,10,68,84,111351
27/08/2016 14:20:13,INSERTION,class java.lang.String,0,0,49,88682
27/08/2016 14:20:13,INSERTION,class java.lang.String,50,1225,1274,12557641
27/08/2016 14:20:13,INSERTION,class java.lang.String,50,1947,2043,8501623
27/08/2016 14:20:13,INSERTION,class java.lang.Integer,0,0,999,11205991
27/08/2016 14:20:15,INSERTION,class java.lang.Integer,1000,499500,500499,1725891301
27/08/2016 14:20:16,INSERTION,class java.lang.Integer,1000,753933,755924,1153160321
27/08/2016 14:20:16,INSERTION,class java.lang.Integer,0,0,4999,1770207
27/08/2016 14:20:30,INSERTION,class java.lang.Integer,5000,12497500,12502499,11470796583
27/08/2016 14:20:36,INSERTION,class java.lang.Integer,5000,18751285,18761280,5470133498
27/08/2016 14:20:36,INSERTION,class java.lang.Integer,0,0,499,157672
27/08/2016 14:20:36,INSERTION,class java.lang.Integer,500,124750,125249,108828153
27/08/2016 14:20:37,INSERTION,class java.lang.Integer,500,187055,188049,54234823
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,0,0,9,194548
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,10,45,54,20628083
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,10,70,84,143775
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,0,0,49,115227
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,50,1225,1274,43983489
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,50,1803,1900,766528
27/08/2016 14:21:09,INSERTION,class java.lang.String,0,0,9,332179
27/08/2016 14:21:09,INSERTION,class java.lang.String,10,45,54,116906
27/08/2016 14:21:09,INSERTION,class java.lang.String,10,60,78,3540640
27/08/2016 14:21:09,INSERTION,class java.lang.String,0,0,49,42961
27/08/2016 14:21:09,INSERTION,class java.lang.String,50,1225,1274,9451643
27/08/2016 14:21:09,INSERTION,class java.lang.String,50,1813,1905,4013882
27/08/2016 14:21:09,INSERTION,class java.lang.Integer,0,0,999,3076410
27/08/2016 14:21:10,INSERTION,class java.lang.Integer,1000,499500,500499,635509538
27/08/2016 14:21:11,INSERTION,class java.lang.Integer,1000,743094,745085,100202607
27/08/2016 14:21:11,INSERTION,class java.lang.Integer,0,0,4999,450178
27/08/2016 14:21:22,H,class java.lang.Integer,0,0,999,8383343
27/08/2016 14:21:22,H,class java.lang.Integer,0,0,999,164646626
27/08/2016 14:21:47,H,class java.lang.Integer,0,0,999,9162973
27/08/2016 14:23:11,H,class java.lang.Integer,0,0,999,83885840449
27/08/2016 14:25:06,H,class java.lang.Integer,0,0,9,1370164
27/08/2016 14:25:06,H,class java.lang.Integer,0,0,9,27592370
27/08/2016 14:29:33,H,class java.lang.Integer,0,0,999,26305124
27/08/2016 14:29:33,H,class java.lang.String,0,0,99,14284970
27/08/2016 14:29:33,H,class java.lang.Integer,0,0,9,67825
27/08/2016 14:31:09,H,class java.lang.Integer,0,0,9,214948
27/08/2016 15:50:10,H,class java.lang.Integer,0,0,100,206896
27/08/2016 15:50:10,H,class java.lang.Integer,0,0,114,94382
27/08/2016 15:50:10,H,class java.lang.Integer,0,0,128,123374
27/08/2016 15:50:10,H,class java.lang.Integer,0,0,142,58297
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,0,0,9,190383
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,10,45,54,4476604
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,10,63,96,148401
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,0,0,49,110739
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,50,1225,1274,18521946
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,50,1840,2489,1459681
27/08/2016 16:12:20,BUBBLE,class java.lang.String,0,0,9,336239
27/08/2016 16:12:20,BUBBLE,class java.lang.String,10,45,54,239194
27/08/2016 16:12:20,BUBBLE,class java.lang.String,10,64,96,53588
27/08/2016 16:12:20,BUBBLE,class java.lang.String,0,0,49,33100
27/08/2016 16:12:20,BUBBLE,class java.lang.String,50,1225,1274,1834206
27/08/2016 16:12:20,BUBBLE,class java.lang.String,50,1924,2499,1116912
27/08/2016 16:12:20,BUBBLE,class java.lang.String,0,0,99,432600
27/08/2016 16:12:20,BUBBLE,class java.lang.String,100,4950,5049,29224064
27/08/2016 16:12:20,BUBBLE,class java.lang.String,100,7184,9894,18736405
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,0,0,999,785246
27/08/2016 16:12:20,BUBBLE,class java.lang.Integer,1000,499500,500499,279637253
27/08/2016 16:12:21,BUBBLE,class java.lang.Integer,1000,741572,999863,131122673
27/08/2016 16:12:21,BUBBLE,class java.lang.Integer,0,0,4999,471378
27/08/2016 16:12:25,BUBBLE,class java.lang.Integer,5000,12497500,12502499,2240428888
27/08/2016 16:12:27,BUBBLE,class java.lang.Integer,5000,18724286,24998229,1266001721
27/08/2016 16:12:27,BUBBLE,class java.lang.Integer,0,0,499,29944
27/08/2016 16:12:27,BUBBLE,class java.lang.Integer,500,124750,125249,13194152
27/08/2016 16:12:27,BUBBLE,class java.lang.Integer,500,184480,249053,55901760
27/08/2016 16:14:53,BUBBLE,class java.lang.String,0,0,9,204804
27/08/2016 16:14:53,BUBBLE,class java.lang.String,10,45,54,5176607
27/08/2016 16:14:53,BUBBLE,class java.lang.String,10,63,93,173900
27/08/2016 16:14:53,BUBBLE,class java.lang.String,0,0,49,108001
27/08/2016 16:14:53,BUBBLE,class java.lang.String,50,1225,1274,14444525
27/08/2016 16:14:53,BUBBLE,class java.lang.String,50,1835,2484,1361446
27/08/2016 16:14:53,BUBBLE,class java.lang.String,0,0,99,65348
27/08/2016 16:14:53,BUBBLE,class java.lang.String,100,4950,5049,11896576
27/08/2016 16:14:53,BUBBLE,class java.lang.String,100,6909,9894,3943563
27/08/2016 16:14:53,BUBBLE,class java.lang.Integer,0,0,999,2448721
27/08/2016 16:14:53,BUBBLE,class java.lang.Integer,1000,499500,500499,359980006
27/08/2016 16:14:54,BUBBLE,class java.lang.Integer,1000,737573,998823,399707664
